Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
Tata Steel,810.00,777.90,796.50,3.87,1968.44
Reliance,2048.90,1991.55,2037.60,2.15,1503.18
ICICI Bank,592.50,582.00,588.55,1.73,1221.39
HDFC Bank,1547.25,1501.55,1543.40,3.49,1121.89
Infosys,1400.00,1336.15,1397.70,4.60,1097.42
Tata Motors,301.30,292.70,296.50,0.03,1087.35
TCS,3186.85,3060.90,3183.85,3.82,1071.15
SBI,364.30,356.30,363.00,1.62,994.11
HDFC,2617.00,2555.25,2610.20,3.06,900.10
Bajaj Finance,5260.00,5150.00,5206.50,0.45,785.07
Axis Bank,713.30,700.75,703.00,0.69,733.21
JSW Steel,470.20,452.20,466.10,4.69,713.22
UPL,626.75,591.00,622.80,6.39,703.85
Kotak Mahindra,1801.95,1775.00,1784.00,0.73,674.37
Maruti Suzuki,6873.30,6740.00,6864.50,1.18,636.93
SAIL,81.00,78.00,79.50,3.58,630.38
HUL,2400.00,2325.00,2400.00,3.54,610.00
Adani Ports,718.00,697.30,707.00,0.56,546.17
Asian Paints,2575.00,2521.50,2571.30,2.64,478.92
Titan Company,1563.00,1510.00,1549.00,2.87,474.35
ITC,213.95,210.40,213.95,1.45,455.12
Bharti Airtel,527.90,516.25,521.65,-0.16,435.91
Tata Power,105.35,102.80,103.60,0.14,419.28
Wipro,418.50,405.00,418.10,3.52,397.27
IndusInd Bank,978.40,955.25,975.20,2.36,388.40
HCL Tech,997.25,964.45,994.70,3.77,381.63
M&M,805.55,783.00,798.65,-0.09,368.87
Tech Mahindra,1018.80,991.50,1014.00,2.32,339.67
Larsen,1420.00,1395.55,1417.50,1.37,327.49
Dr Reddys Labs,4527.45,4421.05,4508.20,2.32,317.69
WABCO India,6640.00,5861.10,6393.90,0.06,307.36
Bajaj Finserv,9645.00,9440.05,9546.30,0.83,281.96
Grasim,1441.65,1395.75,1421.50,1.13,281.72
Jindal Steel,340.90,328.20,336.70,3.86,275.08
Shriram Trans,1445.00,1411.10,1429.75,0.04,265.18
PNB,36.70,35.80,36.35,0.97,263.96
Deepak Nitrite,1637.95,1546.10,1618.25,3.67,263.59
Cipla,813.00,790.25,809.45,2.79,260.15
Mindtree,2095.00,1990.00,2094.00,5.76,258.63
Power Grid Corp,223.70,215.40,223.25,4.03,258.63
Bank of Baroda,74.20,70.85,73.50,3.89,255.97
GAIL,137.25,132.15,133.30,1.14,255.17
Hindalco,332.90,325.30,326.60,-0.17,241.37
Motherson Sumi,207.75,200.20,203.15,2.09,238.49
UltraTechCement,6875.00,6746.00,6778.25,0.64,231.71
Container Corp,610.15,587.50,602.55,2.23,231.42
PVR,1238.20,1193.85,1226.30,0.54,228.41
Bajaj Auto,3674.75,3581.35,3667.00,1.86,227.70
Eicher Motors,2653.70,2561.35,2635.00,2.91,225.95
TATA Cons. Prod,633.75,617.55,621.35,-1.11,222.30
Hero Motocorp,2976.35,2916.60,2961.55,0.81,222.13
Info Edge,4531.35,4372.00,4424.40,-1.04,217.43
IRCTC,1774.00,1740.40,1751.30,0.22,217.00
Shree Cements,29390.20,28301.80,29102.80,3.51,208.06
Divis Labs,3600.00,3480.05,3580.35,3.33,206.84
Adani Power,95.55,89.50,89.50,-4.99,197.85
Sun Pharma,597.25,587.25,593.70,1.11,195.30
Bandhan Bank,352.30,336.70,338.45,-2.07,192.41
BPCL,428.90,421.50,425.10,0.21,191.75
NTPC,108.35,104.60,107.25,2.93,191.66
Nestle,17099.95,16610.00,17094.95,3.16,185.09
ONGC,106.30,103.35,104.60,2.15,175.74
DLF,284.45,274.50,279.85,0.23,173.48
Indiabulls Hsg,201.00,193.10,197.30,-0.33,170.83
IDFC First Bank,60.00,58.00,58.50,1.39,170.46
Apollo Hospital,2958.45,2875.00,2899.35,1.67,168.64
BHEL,49.60,48.30,48.75,0.10,165.35
Canara Bank,149.50,144.80,148.00,1.27,162.33
Vedanta,229.60,226.90,228.35,0.66,157.23
Ashok Leyland,115.75,111.70,113.35,-0.61,155.62
INDUS TOWERS,261.80,240.30,258.40,7.69,153.95
Lupin,1005.00,985.00,1002.80,2.44,152.53
Interglobe Avi,1629.70,1575.20,1590.90,-1.37,152.49
RBL Bank,214.40,206.95,209.85,-0.59,149.13
Godrej Consumer,731.30,713.55,728.65,2.59,148.73
Britannia,3614.00,3510.05,3609.40,2.99,144.95
Page Industries,31179.45,30250.00,30737.75,2.33,143.94
COFORGE LTD.,2969.00,2776.30,2945.45,5.34,140.17
M&M Financial,208.95,198.70,200.50,-3.09,135.44
MRF,83000.00,81325.05,82070.00,0.07,129.68
IOC,91.75,90.10,90.90,0.00,126.76
Piramal Enter,1841.80,1758.00,1767.85,-2.02,126.07
HDFC Life,686.35,675.00,683.80,1.80,124.28
Dixon Technolog,3765.00,3624.60,3648.80,0.67,123.16
Ambuja Cements,303.50,295.35,300.60,1.93,122.94
Voltas,1005.00,982.10,993.20,1.40,120.88
Zee Entertain,204.00,197.95,200.60,0.33,118.58
Avenue Supermar,2918.00,2867.00,2887.40,1.13,117.27
Biocon,406.00,399.05,404.25,2.28,114.25
Dabur India,541.20,532.00,540.20,1.96,112.55
NMDC,131.95,127.70,130.65,3.08,111.89
Jubilant Food,2951.00,2900.60,2917.35,1.27,111.39
Aurobindo Pharm,872.80,852.30,869.50,2.29,110.46
IDBI Bank,40.10,37.30,39.15,2.62,103.85
Navin Fluorine,2664.90,2450.00,2634.00,8.08,102.93
Vodafone Idea,9.50,9.00,9.10,0.00,101.73
Havells India,1078.00,1047.80,1052.30,0.19,101.47
Adani Total Gas,925.00,885.00,902.75,-0.30,99.71
Federal Bank,78.20,75.75,76.25,-0.65,99.04
Cummins,907.90,867.75,899.70,3.49,98.31
Berger Paints,772.00,757.25,763.80,0.51,98.18
Coal India,132.20,130.15,131.10,1.16,97.10
IGL,518.00,505.50,511.75,1.61,94.80
MOIL,159.40,138.00,155.30,12.45,94.40
Strides Pharma ,897.80,835.00,864.70,1.45,90.40
ACC,1905.00,1858.15,1881.65,1.06,90.11
LIC Housing Fin,427.40,414.80,420.50,0.17,89.81
Redington,191.45,153.65,185.55,13.11,88.90
Tata Steel BSL ,51.70,50.00,50.85,4.41,88.82
Pidilite Ind,1838.30,1810.10,1829.95,1.64,88.04
Adani Trans,918.00,885.00,897.20,3.06,85.36
Ircon Internati,88.50,80.60,87.15,7.79,84.62
Dhani Services,219.70,193.00,194.40,-8.02,83.55
Apollo Tyres,227.80,219.70,222.00,-1.27,83.23
SBI Life Insura,881.00,868.00,872.40,-0.18,82.60
Dr Lal PathLab,2689.50,2591.10,2612.75,1.61,80.78
Chola Invest.,564.30,549.40,554.65,0.00,79.82
Indiamart Inter,7909.90,7770.00,7802.05,0.07,79.79
Delta Corp,178.00,165.25,167.15,-3.35,78.63
ICICI Prudentia,440.80,432.35,433.80,0.73,76.06
TVS Motor,581.85,563.70,572.60,0.34,74.75
AU Small Financ,1209.95,1165.00,1206.00,2.33,74.73
Muthoot Finance,1251.15,1214.60,1220.25,-1.26,74.26
Torrent Pharma,2555.00,2452.50,2533.10,2.98,71.56
Intellect Desig,713.35,630.65,698.50,12.05,70.50
Godrej Prop,1389.15,1342.55,1354.40,-0.91,70.30
L&T Finance,96.90,93.75,95.65,0.79,69.32
